"54321","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54322","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54323","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54324","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54325","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54326","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54327","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54328","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54329","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54330","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54331","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54332","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54333","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54334","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54335","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54336","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54337","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54338","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54339","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54340","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54341","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54342","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54343","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54344","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54345","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54346","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54347","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54348","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54349","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54350","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54351","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54352","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54353","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54354","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54355","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54356","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54357","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54358","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54359","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54360","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54361","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54362","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54363","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54364","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54365","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54366","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54367","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54368","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54369","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
"54370","3012","3012.0; 3012.0","Thu May 02 12:31:38 MSK 2024","(3012,3012, ""3012"")","(3012,3012, ""3012"")","3012.0"
